Acronym,Term,Category
DME,Distributed Management Environment,General
DME MAC,DURABLE MEDICAL EQUIPMENT MEDICARE ADMINISTRATIVE CONTRACTOR,General
DMEFS,Durable Medical Equipment Fee Schedule,General
DMEPOS,"Durable Medical Equipment Prosthetic, Orthotics & Supplies",General
DML,Data Management Language,General
DML,Data Manipulation Language,General
DMP,Data Match Project,General
DMS,Data Mass Storage,General
DMS,Disk Management System,General
DMS/OS,DASD Management System,General
DMSS,Data Management SubSystem Capabilities,General
DNA,Data Normalization Analysis,General
DNC,Data Network Contractor,General
DNMNTR,Denominator System,General
DO,Data Owner,General
DOA,Department of Agriculture,General
DOC,Days of Care,General
DOC,Department of Commerce,General
DOD,Date of Death,General
DOD,Department of Defense,General
DOD,Department of Defense (DoD),General
DODCI,Department of Defense Computer Institute,General
DOE,Date of Entitlement,General
DOE,Department of Energy,General
DOG,Day One Group,General
DOI,Department of Interior,General
DOIAC,District Office Intermediary Action Cases,General
DOIAC,District Office/Intermediary Aged Cases (OBSOLETE),General
DOJ,Department of Justice,General
DOL,Department of Labor,General
DOLA,Delegation of Leasing Authority,General
DOLBA,Date of Last Billing Action,General
DOM,Developmental Office Minicomputer,General
DOME,(Society of Health Systems) Directors of Management Engineering,General
DOORS,Dynamic Object Oriented Requirements System,General
DOS,Date of Service,General
DOST,Date of Suspension or Termination,General
DOT,Department of Transportation,General
DOTH,Date of Termination of Hospital Insurance,General
DOTS,Date of Termination of Supplementary Medical Insurance,General
DP,Data Processing,General
DP,Disability Pension,General
DP,Distinct Part,General
DPA,Delegation of Procurement Authority,General
DPD,Deferred Payment Date,General
DPF,Distinct Part Facility,General
DPM,Deputy Program Manager,General
DPNA,Denial of Payment New Admissions,General
DPP,Disproportionate Patient Percentage,General
DQC,Data Quality Committee,General
DQSC,Data Quality Steering Committee,General
DR,Desk Review,General
DRA,Data Release Agreement,General
DRA,Deficit Reduction Act of 1984,General
DRA,Disaster Recovery Assessment,General
DRAFT,Dictionary/Repository Access Facility & Tools System,General
DRAIN,Desk Review Artificial Intelligence Network,General
DRAM,Dynamic Random Access Memory,General
DRG,Diagnostic Related Group (patients with similar illness),General
DRI,Drug Rebate Initiative,General
DRP,Disaster Recovery Plan,General
DRS,Data Review System,General
DRUG,Data Release Users Guide,General
DS,Data Set,General
DSAF,Decision Support Access Facility,General
DSCN,Data Service Centers & Network,General
DSD,Data Structure Diagram (aka: DAD),General
DSD,Detailed Systems Design,General
DSH,Disproportionate Share Hospital,General
DSM,Diagnostic & Statistical Manual,General
DSM-IV,"Diagnostic & Statistical Manual of Mental Disorders, 4th Edition",General
DSMD,Discount Schedule & Marketing Data,General
DSMO,Designated Standards Maintenance Organizations,General
DSMS,Development & Support Management System,General
DSN,Data Set Name,General
DSN W/W,Defense Switched Network Worldwide,General
DSP,Design Specification Package,General
DSP,Disproportionate Share Payments,General
DSR,Data Set Ready,General
DSR,Design Manager,General
DSS,Decision Support System,General
DSS,Department of Social Services,General
DTC,Design to Cost,General
DTE,Data Terminal Equipment,General
DUA,Data Use Agreement,General
DUCS,Daily Update Control System (HDDUCS),General
DUDEX,Daily Update Data Exchange System,General
DUMAS,Daily Update Master Accounting System (MBR),General
DUNS,Data Universal Numbering System,General
DUO,Daily Update Operation,General
DUR,Drug Utilization Review,General
DVAAP,Disabled Veterans Affirmative Action Program,General
DVR,Data Validation Review,General
DWARF,Data Warehouse Access & Retrieval Facility,General
DWI,Data Warehouse Initiative,General
DWOH,Days Work On Hand,General
DX,Diagnosis,General
DXGROUP,Diagnosis Group,General
E-PSA,Electronic Public Service Announcement,General
E/M,Evaluation & Management,General
EA,Emergency Assistance,General
EA,Exception Analyst,General
EAB,Enumeration at Birth (SSA),General
EAC,Estimate at Completion,General
EAC,Estimated Acquisition Cost,General
EAC,Executive Advisory Committee,General
EACH,Essential Access Community Hospital,General
EAJA,Equal Access to Justice Act,General
EAL,Evaluation Assurance Level,General
EAQC,Equal Access Quality Committee,General
EAR,Early Alert Report,General
EB,ESRD Bene,General
EBCDIC,Extended BinaryCoded Decimal Interchange Code,General
EBNE,Eligible But Not Enrolled,General
EBRI,Employee Benefit Research Institute,General
EC,Enrollment Control,General
EC,Evaluation Criterion,General
EC,Event Cycle,General
ECB,Electronic Code Book,General
ECD,Executive Development Council,General
ECF,Extended Care Facility,General
ECFMG,Educational Commission for Foreign Medical Graduates,General
ECI,Employment Cost Index,General
ECKD,Extended Count Key Data,General
ECM,Electronic Counter Measures,General
ECP,External Counterpulsation,General
ECP,Electronic Claims Processing System,General
ECP,Engineering Change Proposal,General
ECR,Electronic Cost Report,General
ECRD,Early Complaint Resolution Process,General
ECRS,Electronic Correspondence Referral System,General
ECS,Electronic Certification System,General
ECS,Extended Care Services,General
ECTI,Electronic Claims Transaction Initiative,General
ED,Emergency Department,General
EDB,Enrollment Database (CMS Medicare beneficiary entitlement record),General
EDB,Enterprise Database,General
EDBCCB,EDB Change Control Board,General
EDBCRP,EDB Common Rules Processor,General
EDBFPS,EDB Five Percent Sample,General
EDBO,EDB Online,General
EDBOTP,EDB OnLine Transaction Processing,General
EDBP,Enrollment Database PRISM (Staff),General
EDBS,Enrollment & Direct Billing System,General
EDBTP,EDB Transaction Processors,General
EDBUPT,EDB Online Update Facility,General
EDBW,EDB Workbench,General
EDEES,ESRD Data Entry & Editing System,General
EDF,Execution Diagnostic Facility,General
EDG,Emergency Department Group,General
EDI,Electronic Data Interchange,General
EDIFWG,Electronic Data Exchange Federal Work Group,General
EDIPAC,Electronic Data Interchange / Payment & Collection,General
EDOH,"Executive Director, Office of Hearings",General
EDP,Electronic Data Processing,General
EDPO,EDB Printout,General
EDTA,European Dialysis & Transplantation Association,General
EDW,Electronic Data Warehouse,General
EEG,Electroencephalograph,General
EF,Exposure Factor,General
EFC,Exclusions From Coverage,General
EFT,Electronic Funds Transfer,General
EFTS,Electronic File Transfer System (GHP large volume transfer to HDC),General
EFTS,Electronic Funds Transfer System,General
EH,Emergency Hospital,General
EHS,Abbreviation for Environmental Health & Safety,General
EIA,Electronic Industries Association,General
EIA 232-C,EIA electrical interface standard 232C,General
EIB,Employer Insured Beneficiary,General
EIN,Employee Identification Number (aka SUEI),General
EIN,Employer Identification Number,General
EIS,Enterprise Information System,General
EIS,Environmental Impact Statement,General
EIS,Executive Information Systems,General
EISA,Extended Industry Standard Architecture,General
EJR,Expedited Judicial Review,General
EKMS,Electronic Key Management System,General
ELAN,Extended Local Area Network,General
ELF,Extremely Low Frequency,General
EM,Enrollment Module,General
EMATS,Electronic Memo Acceptance Tracking System (TSO to NCC),General
EMB,Eligible Medicare Beneficiary,General
EMBER,Edit for Multiple Bene Entitlement Records,General
EMC,Electronic Media Claim,General
EMCP,Electronic Media Claims Processing,General
EMCSES,Electronic Media Claims Standard Enforcement Software,General
EMEVS,Electronic Medicaid Eligibility Verification System,General
EMI/EMC,Electromagnetic Interference/Electromagnetic Compatibility,General
EMIA,Educators Mutual Insurance Association,General
EMSS,Emergency Medical Service System,General
EMT,Emergency Medical Technician,General
EMTALA,Emergency Medical Treatment and Active Labor Act,General
ENDOP,End of Month Operation,General
ENIAC,Electronic Numerical Integrator and Computer,General
ENOA,Elimination of Notice of Admission (also EONA),General
ENQ,Enquiry Control Character,General
ENROLL,Enrollment,General
ENS,Electronic Network Services,General
ENTMRG,Prior Entitlement Merge (HDENTMRG),General
ENTRAP,ENrollment TRAnsaction Processors,General
EO,Executive Order,General
EOC,Episode of Care,General
EOIS,Enrollment Online Inquiry System (use EDBOIS),General
EOM,End of Month,General
EOMB,Executive Office of Management & Budget,General
EONA,Elimination of Notice of Admission (also ENOA),General
EOP,Executive Office of the President,General
EOQ,Economic Order Quantity,General
EOS,Economies of Scale,General
EOT,End of Transmission,General
EOY,End of Year,General
EP,Enrollment Period,General
EP STUDIES,Electrophysiological Studies,General
EPA,Environmental Protection Agency,General
EPAAR,EPA Acquisition Regulations,General
EPC,Emergency Protection Coordinators,General
EPESE,Established Populations for Epidemic Logic Studies for the Elderly,General
EPICS,Eligibility Programs Integrated Computer System,General
EPM,Electronic Post Mark,General
EPSDT,"Early & Periodic Screening, Diagnosis & Treatment Program (or Services)",General
ER,EntityRelationship,General
ERA,Electronic Remittance Advice,General
ERD,EntityRelationship Diagram,General
ERIC,ERISA Industry Committee,General
ERISA,Employee Retirement Income Security Act of 1974,General
ERISA,Employee Retirement Income Security Act of 1974 (ERISA),General
ERMA,Edit & Reformat Maintenance Operation (HMERMA),General
ERMA,Edit & Reject Monthly Accumulation Report System,General
ERN,Electronic Remittance Notice,General
ERNIE,EDB Enrollment Retrieval New Interactive Edit System,General
ERP,Enterprise Resource Planning,General
ERQ,Engineering Requirements,General
ERS,Experimental Reimbursement System,General
ERV,EntityRelationship Verification,General
ES,Emergency Service,General
ESA,Enterprise System Architecture,General
ESA,Exceptional Service Award,General
ESA,Extended Structure Architecture,General
ESA,Extended Systems Architecture,General
ESP,External Services Providers,General
ESQ,Entitlement Status Query,General
ESRD,End Stage Renal Disease,General
ESRD PMMIS,ESRD Program Management & Medical Information System,General
ESRDBF,EndStage Renal Disease Beneficiary File,General
ESS,Estimating System Survey,General
ESTS,Enrollment Statistical Tabulation System,General
ET,Expenditure Target,General
ETB,End of Block,General
ETC,Estimate to Complete,General
ETL,Extraction Transformation & Loading,General
ETM,Extended Terminal Multiplexer,General
ETV,Estimated Test Volume,General
EVAN,Electronic Verification of Alleged Number,General
EVS,Eligibility Verification System,General
EVS,Enumeration Verification System,General
EWU,Equivalent Work Unit,General
EXA,EExtended Architecture,General
F&D,Findings & Determination,General
FA,Field Audit,General
FA,Fiscal Agent,General
FA,Functional Area,General
FAA,Federal Aviation Administration,General
FAC,Federal Acquisition Circular,General
FAC,Freestanding Ambulatory Care,General
FAC,Freestanding Ambulatory Center,General
FACA,Federal Advisory Committee Act,General
FACCT,Foundation for Accountability,General
FACP,Final Administrative Cost Proposal,General
FACS,Final Administration Cost System,General
FACTS,Federal agency Centralized Trial Balance System,General
FADPUG,Federal ADP Users Group,General
FAFD,Federal Assistance Financing Division,General
FAH,Federation of American Hospitals,General
FAHS,Federation of American Health Systems,General
FAIR,Fund for Assuring an Independent Retirement,General
FAR,Federal Acquisition Regulation,General
FAR,"Federal Acquisition Regulations (48 CFR, Ch. 1)",General
FARA,Federal Acquisition Regulation Automated System,General
FARC,Federal Archives Records Center,General
FARS,Financial Assistance Reporting System,General
FASA,Federal Acquisition Streamlining Act of 1994,General
FASA,Federated Ambulatory Surgery Association,General
FASAB,Federal Accounting Standards Advisory Board,General
FASB,Federal Accounting Standards Board (or Bureau),General
FASC,Freestanding Ambulatory Surgery Center,General
FASEB,Federation of American Societies for Experimental Biology,General
FAT,First Article Testing,General
FBI,Federal Bureau of Investigation,General
FBR,Federal Benefit Rate,General
FC,Final Claim,General
FC,Folder Control,General
FCA,Farm Credit Administration,General
FCA,Functional Configuration Audit,General
FCC,Federal Communications Commission,General
FCCA,Federal Claims Collection Act of 1966 (31USC3711 & 4CFR),General
FCCA,Federal Computer Crime Act of 1984,General
FCCBC,Federal Coordinating Committee on Breast Cancer,General
FCD,First Claims Development,General
FCM,First Credit Month,General
FCT,File Control Table,General
FCW,Freedom of Choice Waiver,General
FDA,Food and Drug Administration,General
FDG,Fluorodeoxyglucose,General
FDIC,Federal Deposit Insurance Corporation,General
FDO,Formula Driven Overpayment,General
FDOEH,First Date of Entitlement to Hospital Insurance (Part A),General
FDOES,First Date of Entitlement to Supplementary Medical Insurance (Part B),General
FEC,Federal Election Commission,General
FEC,Freestanding Emergency Center,General
FED-STD,Federal Standard,General
FEDSIM,Federal Computer Performance Evaluation & Simulation Center,General
FEDSIM,Federal Systems Integration Management,General
FEDSTRIP,Federal Standard Requisitioning & Issue Procedures,General
FEDWIRE,Federal Wire Transmission System,General
FEHBP,Federal Employee Health Benefits Program,General
FEMA,Federal Emergency Management Agency,General
FEPCA,Federal Employees Pay Comparability Act of 1990,General
FERC,Federal Energy Regulatory Commission,General
FERCCA,Federal Erroneous Retirement Coverage Corrections Act of 2000,General
FF,Facility File,General
FFB,Federal Financing Bank,General
FFMIA,Federal Financial Management Improvement Act of 1996,General
FFP,Federal Financial Participation,General
FFP,Federal Fixed Price (contract),General
FFRDC,FederallyFunded Research & Development Centers,General
FFUND,Fixed Income Index Investment Fund,General
FFWG,Federal Finance Functional Workgroup,General
FFY,Federal Fiscal Year,General
FGSTF,Federal Government Service Task Force (Congressional caucus),General
FHA,Federal Highway Administration,General
FHA,Federal Housing Administration,General
FHIBA,Federal Health Insurance Benefits Accounts,General
FHP,Family Health Plan,General
FICA,Federal Insurance Contributions Act,General
FICARR,Fiscal Intermediary/Carrier,General
FID,Fraud Investigation Database,General
FIFO,First In/First Out,General
FIG,Fiscal Intermediary Group,General
FILS,Federal Information Locator System,General
FIM,Facer Identification Mark,General
FIPO,Freedom of Information & Privacy Office,General
FIPR,Federal Information Processing Resources,General
FIPS,Federal Information Processing Standards,General
FIPSPUB,FIPS Publication,General
FIQAS,Fiscal Intermediary Quality Assurance System,General
FIRMPOC,Federal Information Resources Management Policy Council,General
FIRMR,Federal Information Resources Management Regulations,General
FIRS,Federal Information Relay Service,General
FIRS,Federal Information Reporting System,General
FIRS,Financial Information Reporting System,General
FIS,Forms Information System,General
FISCAM,Federal Information System Controls Audit Manual,General
FISS,Fiscal Intermediary Standard (or Shared) System,General
FITA,Federal Information Technical Architecture,General
FLC,Federal Liason Committee,General
FLM,Future Logical Model,General
FLRA,Federal Labor Relations Authority,General
FLSA,Fair Labor Standards Act,General
FM,Financial Management,General
FM,Frequency Modulation,General
FM-TAG,Financial Management Technical Advisory Group,General
FMA,Federal Managers Association,General
FMAP,Federal Medical Assistance Payments,General
FMAP,Federal Medical Assistance Percentage,General
FMC,Facility Management Contract (Contractor),General
FMC,Federal Maritime Commission,General
FMC,Foundation for Medical Care,General
FMCS,Federal Mediation & Conciliation Service,General
FMFIA,Federal Managers Financial Integrity Act,General
FMFIA,Federal Managers' Financial Integrity Act of 1992,General
FMIS,Field Management Information System,General
FMM,Financial Management Manual,General
FMR,Focused Medical Review,General
FMS,Federal Monitoring Survey,General
FMS,Federal Monitoring System,General
FMS,Financial Management Service (Treasury Dept.),General
FMS,Financial Management System,General
FMSNET,Financial Management System Network,General
FMSS,Financial Management System Software,General
FMV,Fair Market Value,General
FNMA,Federal National Mortgage Association,General
FNS,Food & Nutrition Service (DOA),General
FO,Field Operations,General
FO,Financial Operations,General
FOB,Freight On Board,General
FOC,Full Operating Capacity,General
FOI,Freedom of information,General
FOIA,Freedom of Information Act,General
FOP,Financial Operating Plan,General
FORTRAN,Formula Translation,General
FOSC,Freestanding Outpatient Surgery Center,General
FOSE,Federal Office Systems Exposition,General
FOSE,Field Office Systems Enhancement (Claims Modernization Project),General
FP,Fixed Price,General
FPAF,Fixed Price Award Fee,General
FPC,Fiscal Policy Committee,General
FPDC,Federal Procurement Data Center,General
FPDS,Federal Procurement Data System,General
FPEFA,Fixed Price with Economic Price Adjustment,General
FPI,Fixed Price Incentive,General
FPIST,Fixed Price with Successive Targets,General
FPL,Federal Poverty Level,General
FPLE,Fixed Price Level of Effort,General
FPMS,Federal Productivity Measurement System,General
FPMS,Forms & Printing Management System,General
FPOC,Fixed Price Options Clause,General
FPR,Final Project Report,General
FPR,Fixed Price Redeterminable (contract),General
FPRA,Forward Pricing Rate Adjustment,General
FPS,Five Percent Sample,General
FPSC,Federal Product & Services Codes,General
FQA,Functional Quality Assurance,General
FQHC,Federally Qualified Health Centers,General
FQI,Federal Quality Institute,General
FR,Federal Register,General
FR,Final Rule,General
FR (F/R),Formal Review,General
FRA,Federal Railway Administration,General
FRCS,Federal Reserve Communication System (Treasury Dept.),General
FRD,Functional Requirements Document,General
FRO,Field Regional Office,General
FRS,Federal Reserve System,General
FS,Final Settlement,General
FS,Financial Statement,General
FS,Fixed Standard,General
FSA,Family Services Administration,General
FSA,Family Support Administration,General
FSA,Federal Service Area,General
FSA,Flexible Savings Account,General
FSCM,Federal Supply Code for Manufacturers (OBSOLETE now called CAGE),General
FSE,Federal Software Exchange,General
FSIIS,Field Staff Information & Instruction Series,General
FSIL,First State Issuing License,General
FSP,Federal Specific Portion,General
FSPML,First State Professional Medical License,General
FSS,Florida Shared System,General
FSY,Fee Screen Year,General
FT,FrontEnd Edit,General
FT,Full Time,General
FTAPE,Foreign Tape System,General
FTC,Federal Trade Commission,General
FTCA,Federal Tort Compensation Act of 1988,General
FTI,Federal Tax Information,General
FTP,File Transfer Protocol,General
FU,Followup,General
FULS,Federal Upper Limits (of Medicaid drug pricing) System,General
FUSA,Families USA,General
FUTA,Federal Unemployment Tax Act,General
FWA,"Fraud, Waste & Abuse",General
FWS,(U.S.) Fish & Wildlife Service,General
FWS,Federal Wage System,General
FY,Fiscal Year,General
FY/CY,Fiscal Year/Calendar Year,General
FYE,Fiscal Year End or Ending,General
FYTD,Fiscal Year To Date,General
G&A,General & Administrative (costs),General
G-CPR,Government ComputerBased Payment Related Project,General
GAAP,Generally Accepted Accounting Principles,General
GAAS,Generally Accepted Auditing Standards,General
GAB,Grant Appeals Board,General
GAF,Geographic Adjustment Factor,General
GAGAS,Generally Accepted Government Auditing Standards,General
GAM,General Administration Manual,General
GAMSS,General American Medicare Standard System,General
GAO,(U.S.) General Accounting Office,General
GAO,Government Accounting Office,General
GAS,Government Auditing Standards,General
GASB,Government Auditing Standards Board,General
GB,Global Budget,General
GBL,Government Bill of Lading,General
GCB,Geographic Code Book,General
GCIA,Government Commercial Industrial Activity (also CIA),General
GCIP,General Defense Intelligence Program,General
GCPI,Geographic Cost of Practice Index,General
GDC,Government Data Center,General
GDG,Generation Data Group,General
GDP,Gross Domestic Product,General
GEB,General Enrollment Beneficiaries,General
GED,General Graphics Editor,General
GFE,Government Furnished Equipment,General
GFI,Government Furnished Information,General
GFI,Government Furnished Items,General
GFM,Government Furnished Materials,General
GFP,Government Furnished Property,General
GFR,Government Furnished Resources,General
GFUND,Government Securities Investment Fund (GSIF),General
GHPPS,Group Health Plan Payment System,General
GHPS,Group Health Processing System,General
GI,Geographic Index,General
GIC,General Inpatient Care,General
GIS,Geographic Information Systems,General
GL,General Ledger,General
GMATS,Grants Management & Tracking System,General
GMIS,Grants Management Information System,General
GMRA,Government Management & Reform Act of 1994,General
GNMA,Government National Mortgage Administration,General
GNP,Gross National Product,General
GOALS,Government Online Accounting Link System,General
GOCO,"Government Owned, Contractor Operated activity",General
GOSIP,Government Open Systems Interconnection Profile,General
GOTS,GovernmentOffTheShelf,General
GP,Generalized Claims Systems Procedures,General
GPCI,Government Practice Cost Index,General
GPCI,Government Purpose License Rights,General
GPI,Group Practice Indicator,General
GPNPI,Group Practice National Provider Indicator,General
GPO,Government Printing Office,General
GPO,Government Project Officer,General
GPO,Group Purchasing Organization,General
GPP,Group Practice Plan,General
GPP,Group Premium Payor,General
GPPP,Group Practice Prepayment Plan,General
GPRA,Government Performance & Results Act of 1993,General
GPS,Generic Performance Standards,General
GQS,Generic Quality Screens,General
GRC,General Research Corporation,General
GRECC,"Geriatric Research, Education & Clinical Center",General
GRH,GrammRudmanHollings Act,General
GROUCH,GHP Report Output User Communications Help,General
GRS,General Records Schedule,General
GS,General Schedule,General
GSA,General Services Administration,General
GSAR,General Services Acquisition Regulation,General
GSBCA,General Services Administration Board of Contract Appeals,General
GSD,General Systems Design,General
GSS,General Support System,General
GT,Growth Target,General
GTL,Government Task Leader (contracts),General
GTM,Government Task Monitor,General
GTR,Government Transportation Request,General
GTR,Guaranteed Test Region,General
GWAC,Government Wide Acquisition Contract,General
HA,HI Reinstating Operation,General
HAA,Hispanic Agenda for Action,General
HAASC,Hospital Affiliated Ambulatory Surgical Center,General
HART,HCFA Accounting Records Tracking System,General
HAS,Health Savings Account,General
HAS,Hospital Annual Survey,General
HASEALP,HA Search Alpha Program (Beneficiary Alpha Match/Reinstate Operation),General
HAVEN,Home Assessment Validation & Entry System,General
HBP,Hospital Based Physician,General
HBP,HospitalBased Physician,General
HC,Hardcopy Claims,General
HC,HI Control Operations,General
HCA,Hospital Corporation of America,General
HCC,Health Care Compare,General
HCC,Hierarchical Coexisting Condition,General
HCC,Hierarchical Condition Category,General
HCCA,Health Care Commuting Area,General
HCG,Health Care Group,General
HCH,Health Care for the Homeless,General
HCIRC,Health Care Information Resource Center,General
HCIS,HCFA Customer Information System,General
HCIS,Health Care Information System,General
HCLEACON,HC Report SSI Leads Activity Operation,General
HCM,Hardware Configuration Management,General
HCPC,HCFA Common Procedure Code,General
HCPCS,Healthcare Common Procedure Coding System,General
HCPP,Health Care Prepayment Plan,General
HCQII,Health Care Quality Improvement Initiative,General
HCQIP,Health Care Quality Improvement Program,General
HCR,Health Care Reform,General
HCRIS,Healthcare Provider (or Hospice) (or Hospital) Cost Report Information System,General
HCRS,(Maintain) HCRIS Process,General
HCTP,Health Consumer Training Program,General
HD,"Handicapped/Disabled (do not use Handicapped, use IWD or PWD)",General
HD,Health Insurance Daily Operations,General
HDBUTE,Health Insurance Database Update Program,General
HDDUCS,Health Insurance Daily Update Control System,General
HDENTMRG,Health Insurance Daily Prior Entitlement Merge,General
HDHIDAD,HD Health Insurance Daily Actions Dispersion System,General
HDHIDUP,HD Health Insurance Daily Update Program,General
HDHISS,HD Health Insurance Segmented Sort System,General
HDI,Health Data Institute,General
HDID,HI Daily Identification (also see BOIS),General
HDLC,HighLevel Data Link Control,General
HDMEDMRG,HD Medicaid Merge Program,General
HDMUPS,HI Daily Master Update Processing System,General
HDPRENT,HD Prior Entitlement Program,General
HDRIM,Health Insurance Retrieve Inactive Master System,General
HDSEX,HD Sorted Exceptions Program,General
HDSQRD,HD Monthly Sequential Read Program,General
HDSS,Hospital Data Support System,General
HE,HI Enrollment Operations,General
HECHICN,HE Health Insurance Enrollment Cards Operation,General
HEDIS,Health Plan Employer Data and Information Set,General
HEO,Hispanic Employee Organization,General
HEP,Hispanic Employment Program,General
HEPA,High Efficiency Particulate Attraction,General
HEZ,Health Economic Zone,General
HF,HI Database Specifications Format,General
HFMA,Healthcare Financial Management Association,General
HG,HI General Documentation,General
HH,Hold Harmless,General
HH,Home Health,General
HHA,Home Health Agency,General
HHABN,Home Health Advanced Beneficiary Notice,General
HHC,Home Health Care,General
HHCOV,Home Health Coverage,General
HHI,Home Health Intermediary,General
HHL,Home Health Line,General
HHPPS,Home Health Prospective Payment System,General
HHQI,Home Health Quality Initiative,General
HHQIS,Home Health Quality Indicator System,General
HHRG,Home Health Resource Group,General
HHS,Department of Health and Human Services,General
HHS,Home Health Services,General
HHSAR,"Health & Human Services Acquisition Regulation (48 CFR, Ch.3)",General
HHSSA,Home Health Services & Staffing Association,General
HI,Health Insurance (Medicare),General
HIAA,Health Insurance Association of America,General
HIAM,Health Insurance Alpha Microfilm,General
HIB,Health Insurance Benefits (Medicare),General
HIBRR,Health Insurance Benefits Rights & Responsibilities,General
HIC,Health Information Center,General
HIC,Health Insurance Claim,General
HIC,Health Insurance Claim number used by CMS,General
HIC,Health Insurance Company,General
HIC,Home Intensive Care,General
HICAN,Health Insurance Claim Account Number (Medicare Number),General
HICDA,Hospital International Classification of Diseases Adapted,General
HICN,Health Insurance Claim Number (Medicare Number),General
HICR,Health Insurance Correction Request,General
HIDA,Health Insurance Distributor's Association,General
HIDAD,HI Daily Actions Dispersion System,General
HIDUP,HI Duplicate Payments Systems,General
HIFA,Health Insurance Flexibility and Accountability,General
HIICAP,"Health Insurance Information, Counseling & Assistance Program",General
HIIM,Health Insurance Inquiries Manual,General
HIM,Health Insurance Manual,General
HIMA,Health Industry Manufacturers Association,General
HIMA,Health Insurance Master,General
HIMBEX,Health Insurance Master Billing Exception Process,General
HIMF,Health Insurance Master File,General
HIMICS,(OHPS) Management Information Control System,General
HIMR,HI Master Record,General
HIMSS,(AHA's) Healthcare Information & Management Systems Society,General
HIN,Health Industry Number,General
HIN,Health Insurance Networks,General
HIN,HI Number (see HICN),General
HINN,HospitalIssued Notice of Noncoverage,General
HIO,Health Insurance Organization,General
HIP,Health Insurance Pamphlet,General
HIP,Health Insurance Plan,General
HIPDB,Healthcare Integrity & Protection Data Bank,General
HIPO,Hierarchical Input Processing & Output,General
HIPPS,Health Insurance Prospective Payment System,General
HIPPS,"Health Insurance Prospective Payment System, a CMS payment code system",General
HIQA,Health Insurance Query A (Part A inquiry data),General
HIQR,Health Insurance Online Query Response,General
HIRAM,Health Insurance Reinstating Alphabetic Master,General
HIRD,HI Reduction Data (30 QC field on MBR),General
HIRO,Health Insurance Regional Office,General
HIRTF,Health Insurance Reform Task Force,General
HIS,Health Information Systems (3M Inc.),General
HIS,Health Interview Survey,General
HIS,Indian Health Service,General
HISAC,Health Insurance Screening & CrossReferencing (HMHISAC),General
HISB,Healthcare Informatics Standards Board,General
HISDG,HCFA Information Systems Development Guide,General
HISKEW,Health Insurance Skeleton Eligibility Writeoff,General
HISM,Handbook of Information Security Management,General
HISPP,Healthcare Informatics Standards Planning Panel,General
HISS,Health Insurance Segmented Sort System (HDHISS),General
HISTM,Health Insurance System Test Module,General
HIUM,Health Insurance Utilization Master (or Microfilm),General
HIURPS,Health Insurance Utilization Records Processing System,General
HJ,HI Direct Billing Operations (SOBER),General
HJCOIN,Health Insurance Central Office Inquiries,General
HLM,HCFA Logical Model,General
HLQ,High Level Qualifier,General
HM,HI Maintenance Operations,General
HMA,Higher Monitoring Authority,General
HMB,Hospital Market Basket,General
HME,Home Medical Equipment,General
HMERMA,HM Edit & Reformat Maintenance Operation,General
HMHISAC,HM Health Insurance Screening & CrossReferencing Operation,General
HMNCI,HM NCI Program,General
HMO,Health Maintenance Organization,General
HMO/CMP,HMO Competitive Medical Plan,General
HMODR,CMS Medicare Outpatient Data Review,General
HMPSA,Health Manpower Shortage Area,General
HMQ,HI/MBR Query,General
HMS,Housekeeping Monitoring System,General
HMSA,Health Manpower Shortage Areas,General
HMUPHMO,HI Master Update HMO,General
HMWHIM,Health Insurance Master Weekly Health Insurance Merge,General
HO,Hearing Officer,General
HOL,HCFA OnLine,General
HOP,Hospital Orientation Program,General
HOS,Health Outcomes Survey,General
HOST,Healthcare Open Systems & Trials,General
HP,HI Payment Records Operations,General
HPA,Health Policy Agenda,General
HPAC,HI Premium Amount Collectable (MBR / BCM),General
HPB,Historical Payment Basis,General
HPBSS,HCFA Part B Standard System,General
HPEP,Host Performance Evaluation Program\,General
HPG,Homogeneous Patient Groups,General
HPMS,Health Plan Management System,General
HPPC,Health Plan Purchasing Cooperative,General
HPSA,Health Professional (or Personnel) Shortage Area,General
HQ,HI Query Operations,General
HR,Human Resources,General
HRA,Health Reimbursement Account,General
HRCI,Human Resources Certification Institute,General
HRET,(AHAs) Hospital Research & Educational Trust,General
HRG,Health Research Group,General
HRGA,High Rate Geographical Area,General
HRSA,"Health Resources & Services Administration (formerly HRA, formerly PHS)",General
HRSA,Health Resources and Services Administration,General
HS,HI Updating Provider Files Operations,General
HSA,Health Service Area,General
HSA,Health Services Administration,General
HSA,Health Systems Agencies,General
HSA,Historical SPAC Amount,General
HSC,(Army) Health Services Command,General
HSI,Health Systems International,General
HSP,Hospital Specific Portion,General
HSR,Hospital Specific Rate,General
HSRA,Health Resources & Services Administration,General
HTR,HowToRead,General
HUD,(Department of ) Housing & Urban Development,General
HUQA,(Part A inquiry data),General
HURA,Health Underserved Rural Area,General
HWI,Hospital Wage Index,General
HYBC,Hypothetical Base Year Calculations,General
I-CASE,Integrated Computer Aided Software Engineering,General
IA,Information Access,General
IA,Information Assurance,General
IA,Inter/IntraAgency Agreement,General
IAC,Industry Advisory Council,General
IAC,InterAgency Committee,General
IAG,Interagency Advisory Group,General
IAM,Innovative Access Method,General
IAPD,Implementation Advance Planning Document,General
